archivo_origen,fecha,anio,mes,concepto,monto_ars
019_Ejecución mensual del presupuesto del FET - Ejerci.pdf,2026-01-01,2026,ene,Recaudación (1= 2 + 3),36890037084.05
019_Ejecución mensual del presupuesto del FET - Ejerci.pdf,2026-02-01,2026,feb,Recaudación (1= 2 + 3),31327754179.97
019_Ejecución mensual del presupuesto del FET - Ejerci.pdf,2026-03-01,2026,mar,Recaudación (1= 2 + 3),31698871659.94
019_Ejecución mensual del presupuesto del FET - Ejerci.pdf,2026-04-01,2026,abr,Recaudación (1= 2 + 3),34698489162.84
019_Ejecución mensual del presupuesto del FET - Ejerci.pdf,2026-05-01,2026,may,Recaudación (1= 2 + 3),29991927604.69
019_Ejecución mensual del presupuesto del FET - Ejerci.pdf,2026-06-01,2026,jun,Recaudación (1= 2 + 3),29056739180.07
019_Ejecución mensual del presupuesto del FET - Ejerci.pdf,2026-07-01,2026,jul,Recaudación (1= 2 + 3),33246371994.22
019_Ejecución mensual del presupuesto del FET - Ejerci.pdf,2026-08-01,2026,ago,Recaudación (1= 2 + 3),0.0
019_Ejecución mensual del presupuesto del FET - Ejerci.pdf,2026-09-01,2026,sep,Recaudación (1= 2 + 3),0.0
019_Ejecución mensual del presupuesto del FET - Ejerci.pdf,2026-10-01,2026,oct,Recaudación (1= 2 + 3),0.0
019_Ejecución mensual del presupuesto del FET - Ejerci.pdf,2026-11-01,2026,nov,Recaudación (1= 2 + 3),0.0
019_Ejecución mensual del presupuesto del FET - Ejerci.pdf,2026-12-01,2026,dic,Recaudación (1= 2 + 3),0.0
019_Ejecución mensual del presupuesto del FET - Ejerci.pdf,2026-01-01,2026,ene,Total Imputado (Precio),0.0
019_Ejecución mensual del presupuesto del FET - Ejerci.pdf,2026-02-01,2026,feb,Total Imputado (Precio),0.0
019_Ejecución mensual del presupuesto del FET - Ejerci.pdf,2026-03-01,2026,mar,Total Imputado (Precio),0.0
019_Ejecución mensual del presupuesto del FET - Ejerci.pdf,2026-04-01,2026,abr,Total Imputado (Precio),15628862920.46
019_Ejecución mensual del presupuesto del FET - Ejerci.pdf,2026-05-01,2026,may,Total Imputado (Precio),9055087021.58
019_Ejecución mensual del presupuesto del FET - Ejerci.pdf,2026-06-01,2026,jun,Total Imputado (Precio),9059698779.01
019_Ejecución mensual del presupuesto del FET - Ejerci.pdf,2026-07-01,2026,jul,Total Imputado (Precio),15782385707.63
019_Ejecución mensual del presupuesto del FET - Ejerci.pdf,2026-08-01,2026,ago,Total Imputado (Precio),71918613.0
019_Ejecución mensual del presupuesto del FET - Ejerci.pdf,2026-09-01,2026,sep,Total Imputado (Precio),0.0
