campana;provincia;tipo_tabaco;razon_social;es_subtotal_empresa;volumen_acopio_kg;valor_acopio_pesos;precio_promedio_empresa;pagina_origen
2018/2019;CATAMARCA;BURLEY;ALLIANCE ONE TUC.;False;134.445;5695719.3;42364.68;14
2018/2019;CATAMARCA;BURLEY;CAPUL;False;30.227;1691632.0;55964.27;14
2018/2019;CATAMARCA;BURLEY;CICAT;False;79.414;4095385.05;51570.06;14
2018/2019;CATAMARCA;BURLEY;COOPERATIVA TUCUMAN;False;108.869;5900520.03;54198.35;14
2018/2019;CATAMARCA;BURLEY;CORREA;False;49.343;1391198.02;28194.44;14
2018/2019;CATAMARCA;BURLEY;HERNANDEZ HNOS SRL;False;3.106;125162.96;40297.15;14
2018/2019;CATAMARCA;BURLEY;MASSALIN JUJUY;False;117.329;5318420.39;45329.12;14
2018/2019;CATAMARCA;BURLEY;PDM SRL;False;102.766;5781236.9;56256.32;14
2018/2019;CATAMARCA;CR. ARGENTINO;ALLIANCE ONE TUC;False;51.174;2409371.0;47081.94;14
2018/2019;CATAMARCA;CR. MISIONERO;MASSALIN JUJUY;False;8.235;279.309;33.92;14
2018/2019;CATAMARCA;VIRGINIA;COOPERATIVA DE TUCUMAN;False;12.89;938.843;72.83;14
2018/2019;CHACO;CR. CHAQUEÑO;ADRIANA SEGOVIA;False;328606.0;7631431.2;23.22;14
2018/2019;CHACO;CR. CHAQUEÑO;AQUINO;False;79331.0;1828609.44;23.05;14
2018/2019;CHACO;CR. CHAQUEÑO;COOPERATIVA CHACO;False;75168.0;1659573.01;22.08;14
2018/2019;CHACO;CR. CHAQUEÑO;JUAN RAMON MENDEZ;False;51467.0;1250678.52;24.3;14
2018/2019;CHACO;VIRGINIA;COOPERATIVA DEL CHACO;False;500732.0;24790619.25;49.51;14
2018/2019;CHACO;VIRGINIA;SEGOVIA;False;10648.0;399599.5;37.53;14
2018/2019;CORRIENTES;CR. CORRENTINO;ALLIANCE ONE  GOYA;False;322.96;10605382.34;32838.07;14
2018/2019;CORRIENTES;CR. CORRENTINO;COOPERATIVA CORRIENTES;False;414.267;12769558.0;30824.46;14
2018/2019;JUJUY;VIRGINIA;ACOPIADORA S.A.;False;1808817.0;78831591.31;43.58;14
2018/2019;JUJUY;VIRGINIA;ALLIANCE ONE JUJUY;False;7889809.0;526436038.16;66.72;14
2018/2019;JUJUY;VIRGINIA;ALLIANCE SALTA;False;189126.0;10330067.53;54.62;14
2018/2019;JUJUY;VIRGINIA;COOP. JUJUY;False;10931453.0;654173822.09;59.84;14
2018/2019;JUJUY;VIRGINIA;COOP. SALTA;False;982594.0;74923588.89;76.25;14
