campana;provincia;tipo_tabaco;clase_comercial;es_total_clase;volumen_kg;pagina_origen
2018/2019;SALTA;VIRGINIA;T1L;False;27.0;7
2018/2019;JUJUY;VIRGINIA;B1F;False;7855528.0;7
2018/2019;SALTA;VIRGINIA;B1F;False;12100889.0;7
2018/2019;TUCUMAN;VIRGINIA;B1F;False;2449.0;7
2018/2019;JUJUY;VIRGINIA;B1L;False;110112.0;7
2018/2019;SALTA;VIRGINIA;B1L;False;96810.0;7
2018/2019;TUCUMAN;VIRGINIA;B1L;False;33.0;7
2018/2019;JUJUY;VIRGINIA;C1F;False;2980485.0;7
2018/2019;SALTA;VIRGINIA;C1F;False;3273134.0;7
2018/2019;TUCUMAN;VIRGINIA;C1F;False;236.0;7
2018/2019;JUJUY;VIRGINIA;C1L;False;527652.0;7
2018/2019;SALTA;VIRGINIA;C1L;False;124578.0;7
2018/2019;TUCUMAN;VIRGINIA;C1L;False;205.0;7
2018/2019;JUJUY;VIRGINIA;X1F;False;955560.0;7
2018/2019;SALTA;VIRGINIA;X1F;False;1550854.0;7
2018/2019;JUJUY;VIRGINIA;X1L;False;247761.0;7
2018/2019;SALTA;VIRGINIA;X1L;False;103533.0;7
2018/2019;JUJUY;VIRGINIA;T2KL;False;33.0;7
2018/2019;JUJUY;VIRGINIA;T2KF;False;100.0;7
2018/2019;JUJUY;VIRGINIA;B2F;False;2343789.0;7
2018/2019;SALTA;VIRGINIA;B2F;False;2951939.0;7
2018/2019;TUCUMAN;VIRGINIA;B2F;False;913.0;7
2018/2019;JUJUY;VIRGINIA;B2L;False;139897.0;7
2018/2019;SALTA;VIRGINIA;B2L;False;25398.0;7
2018/2019;JUJUY;VIRGINIA;B2KL;False;193729.0;7
2018/2019;SALTA;VIRGINIA;B2KL;False;46307.0;7
2018/2019;JUJUY;VIRGINIA;B2KF;False;654590.0;7
2018/2019;SALTA;VIRGINIA;B2KF;False;76155.0;7
2018/2019;JUJUY;VIRGINIA;C2F;False;1459329.0;7
2018/2019;SALTA;VIRGINIA;C2F;False;897860.0;7
2018/2019;TUCUMAN;VIRGINIA;C2F;False;431.0;7
2018/2019;JUJUY;VIRGINIA;C2L;False;396778.0;7
2018/2019;SALTA;VIRGINIA;C2L;False;37022.0;7
2018/2019;TUCUMAN;VIRGINIA;C2L;False;105.0;7
2018/2019;JUJUY;VIRGINIA;C2K;False;781586.0;7
2018/2019;SALTA;VIRGINIA;C2K;False;33082.0;7
2018/2019;JUJUY;VIRGINIA;X2F;False;812533.0;7
2018/2019;SALTA;VIRGINIA;X2F;False;672009.0;7
2018/2019;TUCUMAN;VIRGINIA;X2F;False;480.0;7
2018/2019;JUJUY;VIRGINIA;X2L;False;338160.0;7
2018/2019;SALTA;VIRGINIA;X2L;False;43143.0;7
2018/2019;TUCUMAN;VIRGINIA;X2L;False;18.0;7
