provincia;tipo_tabaco;es_subtotal_provincial;es_total_nacional;volumen_kg;valor_acopio_pesos;precio_acopio_promedio;valor_fet_pesos;precio_fet_promedio;valor_total_pesos;precio_total_promedio;campana
TOTAL_NACIONAL;TOTAL_NACIONAL;False;True;107349565.0;6623257819.61;61.7;3826122755.18;35.64;10449380574.79;97.34;2018/2019
JUJUY;SUBTOTAL_PROVINCIAL;True;False;33700240.0;2155830940.78;63.97;1242775876.13;36.88;3398606816.91;100.85;2018/2019
JUJUY;VIRGINIA;False;False;33700240.0;2155830940.78;63.97;1242775876.13;36.88;3398606816.91;100.85;2018/2019
SALTA;SUBTOTAL_PROVINCIAL;True;False;32193503.0;2270865224.21;70.54;1309094106.75;40.66;3579959330.96;111.2;2018/2019
SALTA;VIRGINIA;False;False;32193503.0;2270865224.21;70.54;1309094106.75;40.66;3579959330.96;111.2;2018/2019
MISIONES;SUBTOTAL_PROVINCIAL;True;False;33626832.0;1843048268.5;54.81;1046082964.62;31.11;2889131233.12;85.92;2018/2019
MISIONES;BURLEY;False;False;33029403.0;1826127966.68;55.29;1036156876.29;31.37;2862284842.97;86.66;2018/2019
MISIONES;CR. MISIONERO;False;False;597429.0;16920301.82;28.32;9926088.32;16.61;26846390.14;44.94;2018/2019
CATAMARCA;SUBTOTAL_PROVINCIAL;True;False;697798.0;33626796.94;48.19;22248167.56;31.88;55874964.5;80.07;2018/2019
CATAMARCA;BURLEY;False;False;625499.0;29999274.65;47.96;20172676.78;32.25;50171951.43;80.21;2018/2019
CATAMARCA;CR. ARGENTINO;False;False;51174.0;2409370.57;47.08;1391822.82;27.2;3801193.39;74.28;2018/2019
CATAMARCA;CR. MISIONERO;False;False;8235.0;279309.21;33.92;142454.26;17.3;421763.47;51.22;2018/2019
CATAMARCA;VIRGINIA;False;False;12890.0;938842.51;72.83;541213.7;41.99;1480056.21;114.82;2018/2019
CHACO;SUBTOTAL_PROVINCIAL;True;False;1045952.0;37560510.92;35.91;27010417.89;25.82;64570928.81;61.73;2018/2019
CHACO;VIRGINIA;False;False;511380.0;25190218.75;49.26;19864427.08;38.84;45054645.83;88.1;2018/2019
CHACO;CR. CHAQUEÑO;False;False;534572.0;12370292.17;23.14;7145990.81;13.37;19516282.98;36.51;2018/2019
TUCUMAN;SUBTOTAL_PROVINCIAL;True;False;5348013.0;258951137.92;48.42;165408388.72;30.93;424359526.64;79.35;2018/2019
TUCUMAN;VIRGINIA;False;False;9704.0;641885.6;66.15;370030.1;38.13;1011915.7;104.28;2018/2019
TUCUMAN;BURLEY;False;False;5075776.0;246326235.98;48.53;158248538.5;31.18;404574774.48;79.71;2018/2019
TUCUMAN;CR. ARGENTINO;False;False;205374.0;10025167.02;48.81;5791268.01;28.2;15816435.03;77.01;2018/2019
TUCUMAN;CR. MISIONERO;False;False;57159.0;1957849.32;34.25;998552.1;17.47;2956401.42;51.72;2018/2019
CORRIENTES;SUBTOTAL_PROVINCIAL;True;False;737227.0;23374940.34;31.71;13502833.52;18.32;36877773.86;50.02;2018/2019
CORRIENTES;CR. CORRENTINO;False;False;737227.0;23374940.34;31.71;13502833.52;18.32;36877773.86;50.02;2018/2019
CORRIENTES;VIRGINIA;False;False;66427717.0;4453467111.85;;2572645653.76;;7026112765.61;;2018/2019
CORRIENTES;BURLEY;False;False;38730678.0;2102453477.31;;1214578091.58;;3317031568.89;;2018/2019
CORRIENTES;CR. MISIONERO;False;False;662823.0;19157460.35;;11067094.68;;30224555.03;;2018/2019
CORRIENTES;CR. CHAQUEÑO;False;False;534572.0;12370292.17;;7145990.81;;19516282.98;;2018/2019
CORRIENTES;CR. ARGENTINO;False;False;256548.0;12434537.59;;7183090.83;;19617628.42;;2018/2019
TOTAL_NACIONAL;TOTAL_NACIONAL;False;True;112856642.0;10387464235.03;92.04;5245865048.52;46.48;15633329283.55;138.52;2019/2020
JUJUY;SUBTOTAL_PROVINCIAL;True;False;35311358.0;3451398539.49;97.74;1743262619.74;49.37;5194661159.23;147.11;2019/2020
JUJUY;VIRGINIA;False;False;35311358.0;3451398539.49;97.74;1743262619.74;49.37;5194661159.23;147.11;2019/2020
SALTA;SUBTOTAL_PROVINCIAL;True;False;34954608.0;3518217186.3;100.65;1776555574.39;50.82;5294772760.69;151.48;2019/2020
SALTA;VIRGINIA;False;False;34954608.0;3518217186.3;100.65;1776555574.39;50.82;5294772760.69;151.48;2019/2020
MISIONES;SUBTOTAL_PROVINCIAL;True;False;30629196.0;2679050998.35;87.47;1272824918.13;41.56;3951875916.48;129.02;2019/2020
MISIONES;BURLEY;False;False;29569696.0;2632421241.68;89.02;1249324114.94;42.25;3881745356.62;131.27;2019/2020
MISIONES;CR. MISIONERO;False;False;1049401.0;45458910.61;43.32;22957951.36;21.88;68416861.97;65.2;2019/2020
MISIONES;VIRGINIA;False;False;10099.0;1170846.06;115.94;542851.83;53.75;1713697.89;169.69;2019/2020
CATAMARCA;SUBTOTAL_PROVINCIAL;True;False;908506.0;55507222.61;61.1;38445579.19;42.32;93952801.8;103.41;2019/2020
CATAMARCA;BURLEY;False;False;812895.0;48860269.4;60.11;35088748.74;43.17;83949018.14;103.27;2019/2020
CATAMARCA;CR. ARGENTINO;False;False;95611.0;6646953.21;69.52;3356830.45;35.11;10003783.66;104.63;2019/2020
CHACO;SUBTOTAL_PROVINCIAL;True;False;694060.0;43887612.36;63.23;22177741.27;31.95;66065353.63;95.19;2019/2020
CHACO;VIRGINIA;False;False;291822.0;30087257.65;103.1;15208402.29;52.12;45295659.94;155.22;2019/2020
CHACO;CR. CHAQUEÑO;False;False;402238.0;13800354.71;34.31;6969338.98;17.33;20769693.69;51.64;2019/2020
