fecha,empresas_grandes,porcentaje_participacion_grandes,empresas_pymes,porcentaje_participacion_pymes,total_mercado,total_porcentaje_participacion,total_mercado_x_campana
dic-07,186446960.0,96.6,6556336.0,3.4,193003296.0,100.0,0.0
ene-08,179972152.0,96.02,7461644.0,3.98,187433796.0,100.0,0.0
feb-08,172761220.0,96.74,5816510.0,3.26,178577730.0,100.0,0.0
mar-08,175107782.0,96.57,6219454.0,3.43,181327236.0,100.0,0.0
abr-08,170282095.0,96.28,6586784.0,3.72,176868879.0,100.0,0.0
may-08,168362143.0,96.39,6297161.0,3.61,174659304.0,100.0,0.0
jun-08,153044334.0,95.57,7094474.0,4.43,160138808.0,100.0,0.0
jul-08,175833668.0,96.61,6164607.0,3.39,181998275.0,100.0,0.0
ago-08,162942927.0,96.97,5099033.0,3.03,168041960.0,100.0,0.0
sep-08,169521935.0,97.16,4946460.0,2.84,174468395.0,100.0,0.0
oct-08,187761889.0,97.1,5612897.0,2.9,193374786.0,100.0,0.0
nov-08,167946337.0,96.99,5213424.0,3.01,173159761.0,100.0,1762615134.0
dic-08,217399364.0,97.51,5551545.0,2.49,222950909.0,100.0,0.0
ene-09,176869394.0,95.7,7945406.0,4.3,184814800.0,100.0,
feb-09,160749532.0,98.32,2747066.0,1.68,163496598.0,100.0,
mar-09,180348963.0,97.57,4487559.0,2.43,184836522.0,100.0,
abr-09,179195414.0,96.69,6134779.0,3.31,185330193.0,100.0,
may-09,161276412.0,98.45,2535222.0,1.55,163811634.0,100.0,
jun-09,157044923.0,97.62,3825890.0,2.38,160870813.0,100.0,
jul-09,171139135.0,97.85,3756162.0,2.15,174895297.0,100.0,
ago-09,160534528.0,97.88,3484731.0,2.12,164019259.0,100.0,
sep-09,169925339.0,97.87,3693863.0,2.13,173619202.0,100.0,
oct-09,178789402.0,97.69,4228969.0,2.31,183018371.0,100.0,
nov-09,167201966.0,98.34,2814049.0,1.66,170016015.0,100.0,2131679613.0
dic-09,208043644.0,98.41,3362366.0,1.59,211406010.0,100.0,0.0
ene-10,168603461.0,97.68,4006480.0,2.32,172609941.0,100.0,
feb-10,169158648.0,98.6,2397409.0,1.4,171556057.0,100.0,
mar-10,189362801.0,98.38,3124161.0,1.62,192486962.0,100.0,
abr-10,158311694.0,98.22,2872153.0,1.78,161183847.0,100.0,
may-10,161131391.0,98.64,2227710.0,1.36,163359101.0,100.0,
jun-10,159967992.0,98.55,2354769.0,1.45,162322761.0,100.0,
jul-10,164421137.0,98.49,2528009.0,1.51,166949146.0,100.0,
ago-10,167626721.0,98.91,1845344.0,1.09,169472065.0,100.0,
sep-10,171654061.0,98.28,2996059.0,1.72,174650120.0,100.0,
oct-10,165489504.0,95.96,6962085.0,4.04,172451589.0,100.0,
nov-10,175677654.0,96.8,5815526.0,3.2,181493180.0,100.0,2099940779.0
dic-10,208089290.0,97.3,5774658.0,2.7,213863948.0,100.0,0.0
ene-11,181369251.0,96.67,6250196.0,3.33,187619447.0,100.0,
feb-11,165436477.0,97.0,5119725.0,3.0,170556202.0,100.0,
mar-11,190477003.0,97.07,5742955.0,2.93,196219958.0,100.0,
abr-11,172288167.0,96.81,5683915.0,3.19,177972082.0,100.0,
may-11,172579464.0,97.14,5081213.0,2.86,177660677.0,100.0,
jun-11,167849203.0,97.0,5200087.0,3.0,173049290.0,100.0,
jul-11,160913719.0,97.62,3918978.0,2.38,164832697.0,100.0,
ago-11,175374458.0,92.53,14155697.0,7.47,189530155.0,100.0,0.0
sep-11,178455983.0,97.39,4781648.0,2.61,183237631.0,100.0,
oct-11,173758920.0,97.67,4140933.0,2.33,177899853.0,100.0,
nov-11,175904766.0,98.07,3467999.0,1.93,179372765.0,100.0,2191814705.0
dic-11,205893578.0,97.85,4523819.0,2.15,210417397.0,100.0,0.0
ene-12,182345953.0,97.98,3759041.0,2.02,186104994.0,100.0,
feb-12,178334672.0,97.93,3768258.0,2.07,182102929.0,100.0,0.0
mar-12,193735625.0,96.96,6073660.0,3.04,199809285.0,100.0,
abr-12,163329199.0,97.16,4782343.0,2.84,168111541.0,100.0,
may-12,176295474.0,97.21,5059799.0,2.79,181355273.0,100.0,
jun-12,171162464.0,97.06,5183785.0,2.94,176346249.0,100.0,
jul-12,157954454.0,97.37,4271110.0,2.63,162225564.0,100.0,
ago-12,178470555.0,97.59,4402570.0,2.41,182873125.0,100.0,
sep-12,160620009.0,97.55,4039198.0,2.45,164659206.0,100.0,
oct-12,179743488.0,97.39,4817695.0,2.61,184561183.0,100.0,
nov-12,182198125.0,97.35,4966218.0,2.65,187164343.0,100.0,2185731089.0
dic-12,194382968.0,98.09,3783221.0,1.91,198166189.0,100.0,0.0
ene-13,176508323.0,97.38,4741730.0,2.62,181250053.0,100.0,
feb-13,164279350.0,97.39,4407000.0,2.61,168686350.0,100.0,
mar-13,185327907.0,97.79,4197008.0,2.21,189524915.0,100.0,
abr-13,164087483.0,97.07,4946880.0,2.93,169034363.0,100.0,
may-13,163566900.0,97.01,5036730.0,2.99,168603630.0,100.0,
jun-13,158754376.0,97.88,3443255.0,2.12,162197631.0,100.0,
jul-13,163098769.0,97.41,4344863.0,2.59,167443632.0,100.0,
ago-13,175752318.0,97.94,3696839.0,2.06,179449157.0,100.0,
sep-13,157601006.0,97.31,4361920.0,2.69,161962926.0,100.0,
