mes,precio_inferior,precio_promedio_ponderado,precio_superior,primer_quartil,segundo_quartil,tercer_quartil,cuarto_quartil,total_paquetes
ene-05,1.2,3.15,3.8,10648850.0,4260.0,40726854.0,93885204.0,145265168.0
feb-05,1.2,3.12,3.8,10317536.0,9860.0,40085806.0,95317691.0,145730893.0
mar-05,1.3,3.15,3.8,13530447.0,6960.0,44944567.0,107349569.0,165831543.0
abr-05,1.3,3.14,4.0,13046533.0,3530.0,60760927.0,73222666.0,147033656.0
may-05,1.3,3.14,4.0,12901453.0,3750.0,60043786.0,71539068.0,144488057.0
jun-05,1.3,3.12,4.0,14474534.0,4950.0,59242979.0,72364216.0,146086679.0
jul-05,1.3,3.12,4.0,14989820.0,53250.0,57155475.0,70798010.0,142996555.0
ago-05,1.3,3.12,4.0,16063574.0,1500.0,60533207.0,76826078.0,153424359.0
sep-05,1.0,3.11,4.0,15939139.0,1671598.0,40058621.0,96341533.0,154010891.0
oct-05,1.0,3.05,4.0,13145859.0,12200026.0,36269786.0,92140368.0,153756039.0
nov-05,1.0,2.99,4.0,10538783.0,23597757.0,35449056.0,92143513.0,161729109.0
dic-05,1.2,2.98,4.0,29524661.0,12183840.0,58199034.0,84016412.0,183923947.0
ene-06,1.2,2.93,4.0,29129399.0,12861778.0,51007045.0,69417326.0,162415548.0
feb-06,1.2,2.84,4.0,25229013.0,29220791.0,45953660.0,57225000.0,157628464.0
mar-06,1.0,2.77,4.0,8569115.0,66494454.0,45835457.0,57140143.0,178039169.0
abr-06,1.0,2.77,4.0,5716732.0,59328306.0,43706758.0,46357890.0,155109686.0
may-06,1.0,2.75,4.0,7480859.0,62434046.0,44676725.0,46787453.0,161379083.0
jun-06,1.0,2.76,4.0,7581800.0,65845020.0,46277326.0,49382602.0,169086748.0
jul-06,1.0,2.77,4.0,3901766.0,63853375.0,43379142.0,45285048.0,156419331.0
ago-06,1.0,2.82,4.0,7270190.0,53727638.0,56187500.0,50877095.0,168062423.0
sep-06,1.0,2.95,4.0,6252051.0,24642547.0,75348358.0,52394222.0,158637178.0
oct-06,1.0,2.96,4.0,6436286.0,23659969.0,79728335.0,54922205.0,164746795.0
nov-06,1.0,2.97,5.0,6347068.0,102199996.0,59500010.0,6300.0,168053374.0
dic-06,1.0,2.97,4.0,8261170.0,25247409.0,89888939.0,64135704.0,187533222.0
ene-07,1.0,3.07,4.0,3002794.0,25237460.0,82581937.0,58529995.0,169352186.0
feb-07,1.0,3.06,4.0,3028384.0,25401244.0,76683858.0,54515246.0,159628732.0
mar-07,1.0,3.06,3.9,2994149.0,29160990.0,72894521.0,79073457.0,184123117.0
abr-07,1.0,3.06,3.9,2970976.0,25303167.0,62936842.0,68884640.0,160095625.0
may-07,1.0,3.06,3.9,2930835.0,26593145.0,67492462.0,73960227.0,170976669.0
jun-07,1.0,3.12,4.0,2880966.0,23973065.0,73550461.0,52131236.0,152535728.0
jul-07,1.0,3.17,4.0,2730653.0,24313548.0,76470233.0,56049178.0,159563612.0
ago-07,1.0,3.17,4.0,2170204.0,25582587.0,84300773.0,61463540.0,173517104.0
sep-07,1.0,3.17,4.0,2047095.0,23571040.0,76334172.0,56612276.0,158564583.0
oct-07,1.0,3.18,4.0,2313604.0,27249283.0,89089773.0,64985627.0,183638287.0
nov-07,1.0,3.21,4.0,2253076.0,27791907.0,84060520.0,72603872.0,186709375.0
dic-07,1.0,3.35,4.0,1909123.0,28174978.0,59988367.0,102271838.0,192344306.0
ene-08,1.0,3.36,4.0,1939323.0,20783689.0,66283602.0,97830927.0,186837541.0
feb-08,1.0,3.38,4.0,2326040.0,18238908.0,62232710.0,95117711.0,177915369.0
mar-08,1.0,3.37,4.0,2223354.0,19409307.0,62600676.0,96567420.0,180800757.0
abr-08,1.0,3.46,4.5,2391256.0,23985145.0,88094459.0,61955734.0,176426594.0
