"Data generated on Monday, August 31, 2026 at 9:56:40 AM EST"
Area/Partners of Destination,,,,,January - December
And Commodities Exported,,,,,Cumulative To Date Values in Thousands of dollars
,,,,,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Jan - Jun 2025,Jan - Jun 2026,,
,Partner,,HS Code,Product,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
"1","World Total","1","2401208005","FLU,ST,THRS,CIG","0","0","0","0","0","0","0","0","0","478,401","586,748","619,249","587,334","610,955","659,208","558,125","626,082","412,008","275,508","420,160","486,526","601,597","721,394","520,063","479,404","307,716","-36","US","R00","2401208005",
"1","World Total","2","2401208015","BLY,ST,THRS,CIG","0","0","0","0","0","0","0","0","0","213,072","207,789","244,775","183,842","212,242","148,794","121,636","130,204","67,401","72,408","24,633","30,636","46,155","61,360","61,313","56,422","20,702","-63","US","R00","2401208015",
"1","World Total","3","2401108010","KY&TN,UNST","10,110","17,740","7,377","7,756","10,436","3,834","4,267","12,846","9,237","7,015","7,407","8,539","7,621","10,355","9,092","3,865","6,864","7,055","5,733","7,920","5,621","9,836","3,560","9,850","4,499","3,537","-21","US","R00","2401108010",
"1","World Total","4","2401202810","FLU,ST,NTH","2,943","3,371","13,832","1,794","306","0","6,369","3,579","6,833","6,080","6,790","11,427","8,214","12,196","22,686","47,824","13,526","1,737","6,117","14,039","1,964","2,871","142","1,838","1,838","8","-100","US","R00","2401202810",
"1","World Total","5","2401202820","BLY,ST,NTH","0","8,394","3,069","26","1,294","3,853","1,732","753","7","6,864","23,163","7,332","12,268","9,816","9,080","9,944","29,375","17,580","1,729","1,615","1,076","0","190","944","294","0","","US","R00","2401202820",
"1","World Total","6","2401208021","BLY,ST,THRS,NCIG","0","0","0","0","0","0","0","0","0","21,170","2,998","1,928","13,641","1,905","1,843","2,333","292","172","312","1,883","1,592","0","0","233","233","4","-98","US","R00","2401208021",
"1","World Total","7","2401208011","FLU,ST,THRS,NCIG","0","0","0","0","0","0","0","0","0","142,228","7,948","18,251","42,631","31,991","24,169","33,393","22,639","6,544","6,785","4,731","1,420","0","207","48","48","0","","US","R00","2401208011",
"1","World Total","8","2401105130","FLUE-CURED,UNST","4,080","4,151","5,941","1,429","4,589","4,359","3,111","1,746","12,284","11,187","3,619","51","6,268","566","71","779","6,507","4,059","1,523","1,971","152","315","0","15","15","0","","US","R00","2401105130",
"1","World Total","9","2401105160","BURLEY,UNST","164","2,443","0","0","45","13","0","2,277","3,972","8,469","324","7,313","4,541","537","24","101","1,427","297","413","92","16","321","0","0","0","0","","US","R00","2401105160",
"1","World Total","10","2401208010","FLU,ST,THRS","523,557","510,180","467,611","415,336","562,337","508,943","720,267","645,724","608,333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","US","R00","2401208010",
"1","World Total","11","2401208020","BLY,ST,THRS","326,416","333,353","365,595","408,234","403,296","488,954","338,435","297,153","260,107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","US","R00","2401208020",
"","Grand Total","","","","867,270","879,633","863,425","834,574","982,302","1,009,957","1,074,181","964,078","900,773","894,487","846,787","918,865","866,359","890,563","874,967","778,000","836,915","516,852","370,528","477,045","529,003","661,095","786,853","594,304","542,753","331,968","-39",
"Notes:"
"1. Data Source: U.S. Census Bureau Trade Data"
"2. Product Group : BICO-HS10"
