anio,total_paquetes,poblacion,consumo_aparente
1910,218128034.0,7091294.0,31.0
1911,237449275.0,7294386.0,33.0
1912,264898666.0,7497478.0,35.0
1913,281628848.0,7700570.0,37.0
1914,268504891.0,7903662.0,34.0
1915,261441039.0,8161409.0,32.0
1916,214895469.0,8419155.0,26.0
1917,222903154.0,8676902.0,26.0
1918,251203453.0,8934649.0,28.0
1919,270034900.0,9192396.0,29.0
1920,293844034.0,9450142.0,31.0
1921,316837221.0,9707889.0,33.0
1922,328222043.0,9965636.0,33.0
1923,331774882.0,10223383.0,32.0
1924,346603951.0,10481129.0,33.0
1925,366328403.0,10738876.0,34.0
1926,381396634.0,10996623.0,35.0
1927,380368075.0,11254370.0,34.0
1928,400647847.0,11512116.0,35.0
1929,418118716.0,11769863.0,36.0
1930,410760938.0,12027610.0,34.0
1931,414238325.0,12019799.0,34.0
1932,417715711.0,12261925.0,34.0
1933,421193098.0,12504051.0,34.0
1934,424670485.0,12277546.0,35.0
1935,482184856.0,12535292.0,38.0
1936,422917269.0,12793039.0,33.0
1937,445466691.0,13472554.0,33.0
1938,468016113.0,13730301.0,34.0
1939,498280794.0,13988047.0,36.0
1940,521106264.0,14245794.0,37.0
1941,519138536.0,14503541.0,36.0
1942,549556569.0,14761288.0,37.0
1943,550555130.0,15019034.0,37.0
1944,596425562.0,15276781.0,39.0
1945,644648635.0,15534528.0,41.0
1946,696048150.0,15792275.0,44.0
1947,762451460.0,15893811.0,48.0
1948,819459737.0,16210733.0,51.0
1949,889854678.0,16527654.0,54.0
1950,875990453.0,16844576.0,52.0
1951,889581879.0,17161498.0,52.0
1952,968003074.0,17478419.0,55.0
1953,992010771.0,17795341.0,56.0
1954,974916605.0,18112263.0,54.0
1955,1047090342.0,18429185.0,57.0
1956,1068342397.0,18746106.0,57.0
1957,1096676663.0,19063028.0,58.0
1958,1118434577.0,19379950.0,58.0
1959,1166610429.0,19696871.0,59.0
1960,1107000000.0,20013793.0,55.0
1961,1158000000.0,20348857.0,57.0
1962,1229000000.0,20683920.0,59.0
1963,1199000000.0,21018984.0,57.0
1964,1257000000.0,21354047.0,59.0
1965,1256000000.0,21689111.0,58.0
1966,1209000000.0,22024174.0,55.0
1967,1244041931.0,22359238.0,56.0
1968,1307500500.0,22694301.0,58.0
1969,1385036194.0,23029365.0,60.0
1970,1480795211.0,23364431.0,63.0
1971,1497168091.0,23831720.0,63.0
1972,1584330130.0,24308354.0,65.0
1973,1666275247.0,24794521.0,67.0
1974,1885414709.0,25290412.0,75.0
1975,1901137764.0,25796220.0,74.0
1976,1848095924.0,26312144.0,70.0
1977,1845378563.0,26838387.0,69.0
1978,1844179087.0,27375155.0,67.0
1979,1917364711.0,27922658.0,69.0
1980,1918197307.0,27949480.0,69.0
1981,2202815660.0,28373666.0,78.0
1982,1624369829.0,28797852.0,56.0
1983,1728808308.0,29222039.0,59.0
1984,1947833946.0,29646225.0,66.0
1985,1955251516.0,30070411.0,65.0
1986,2005392099.0,30494597.0,66.0
1987,1696710449.0,30918783.0,55.0
1988,1686095609.0,31342969.0,54.0
1989,1674672639.0,31767156.0,53.0
1990,1739183311.0,32615528.0,53.0
1991,1848632480.0,32941683.0,56.0
1992,1939489604.0,33271100.0,58.0
1993,1976068222.0,33603811.0,59.0
1994,1964478119.0,33939849.0,58.0
1995,1969877224.0,34279248.0,57.0
1996,1940054839.0,34622040.0,56.0
1997,1884684323.0,34968261.0,54.0
1998,1967278730.0,35317943.0,56.0
1999,1995519695.0,35671123.0,56.0
2000,1843491732.0,36027834.0,51.0
2001,1739783213.0,36260130.0,48.0
2002,1811771656.0,36622731.0,49.0
2003,1989645554.0,36988959.0,54.0
2004,1890233490.0,37358848.0,51.0
2005,1861704213.0,37732437.0,49.0
2006,1989818229.0,38106026.0,52.0
2007,2057136240.0,38487086.0,53.0
2008,2172683269.0,38868147.0,56.0
2009,2131679613.0,38871957.0,55.0
2010,2098313793.0,40091359.0,52.0
2011,2191814705.0,40492273.0,54.0
2012,2140351208.0,41733271.0,51.0
2013,2088808152.0,42202935.0,49.0
2014,2069326849.0,42669500.0,48.0
2015,2031094744.0,43131966.0,47.0
2016,1794084061.0,43590368.0,41.0
2017,1797332979.0,44044811.0,41.0
2018,1739680300.0,44494502.0,39.0
2019,1657683963.0,44938712.0,37.0
2020,1685845270.0,45376763.0,37.0
2021,1798517658.0,45808747.0,39.0
2022,1857593932.0,46044703.0,40.0
2023,1857593932.0,46654581.0,40.0
2024,1829794726.0,47067641.0,39.0
2025,1665687119.0,47473760.0,35.0
2026,1665687119.0,46387098.0,36.0
