Campana;Etapa_Pago;Fecha;Archivo_Origen;Carpeta;Tabaco;Clase;Porcentaje;Adelanto_1;Adelanto_2;Incremento;Precio_Total_Acumulado;Comprador;Vendedor;Adelanto_1_USD;Adelanto_2_USD;Incremento_USD;Precio_Total_Acumulado_USD
2006-2007;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 7-2007.pdf;Campana_2006-2007;VIRGINIA;38;4;0.592;0.488;0.488;0.288;3.904;3.955;0.14968394437420984;0.12338811630847028;0.12338811630847028;0.07281921618204804
2007-2008;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 361-2007.pdf;Campana_2007-2008;BURLEY;76;8;0.6;0.712;0.56;0.64;3.904;3.955;0.15170670037926673;0.1800252844500632;0.1415929203539823;0.16182048040455121
2007-2008;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 361-2007.pdf;Campana_2007-2008;BURLEY;69;6;0.736;0.584;0.688;0.52;3.904;3.955;0.18609355246523387;0.14766118836915296;0.17395701643489253;0.13147914032869784
2005-2006;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 9-2006.pdf;Campana_2005-2006;BURLEY;62;4;0.296;0.08;0.24;0.2;3.904;3.955;0.07484197218710492;0.020227560050568902;0.0606826801517067;0.050568900126422255
2007-2008;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 362-2007.pdf;Campana_2007-2008;VIRGINIA;Y;2;5465.0;;;5465.0;3.904;3.955;1381.795195954488;;;1381.795195954488
2007-2008;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 362-2007.pdf;Campana_2007-2008;VIRGINIA;65;6;0.664;0.568;0.648;0.544;3.904;3.955;0.16788874841972187;0.14361567635903918;0.1638432364096081;0.13754740834386853
2007-2008;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 362-2007.pdf;Campana_2007-2008;VIRGINIA;42;4;0.68;0.576;0.384;0.592;3.904;3.955;0.17193426042983567;0.14563843236409607;0.09709228824273072;0.14968394437420984
2007-2008;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 362-2007.pdf;Campana_2007-2008;VIRGINIA;48;8;0.288;0.6;0.512;0.312;3.904;3.955;0.07281921618204804;0.15170670037926673;0.12945638432364096;0.07888748419721871
2007-2008;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 362-2007.pdf;Campana_2007-2008;VIRGINIA;35;2;0.568;0.472;0.312;0.48;3.904;3.955;0.14361567635903918;0.1193426042983565;0.07888748419721871;0.1213653603034134
2007-2008;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 362-2007.pdf;Campana_2007-2008;VIRGINIA;38;4;0.216;;;0.216;3.904;3.955;0.05461441213653603;;;0.05461441213653603
2007-2008;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 361-2007.pdf;Campana_2007-2008;VIRGINIA;Y;2;5465.0;;;5465.0;3.904;3.955;1381.795195954488;;;1381.795195954488
2007-2008;Resolución / Anexo General;1975-11-13;000001-Resolución Nº 362-2007.pdf;Campana_2007-2008;VIRGINIA;38;4;0.344;0.4;0.296;0.312;3.904;3.955;0.08697850821744627;0.10113780025284451;0.07484197218710492;0.07888748419721871
